Epoch,Avg Train Loss,Avg Validation Loss
0,0.038772602751851085,0.036061499578257404
1,0.026158219799399376,0.03310701188941797
2,0.022266610679881914,0.03354289770747224
3,0.019498089072959763,0.032876952240864434
4,0.017907371808375632,0.032460895056525864
5,0.01720387861664806,0.03318864029521743
6,0.016219732319670065,0.03151079313829541
7,0.016286671119076866,0.03232232170800368
8,0.015592979368354593,0.03039386123418808
9,0.015229219948606832,0.029470169916749
10,0.014928190537861416,0.028760927108426888
11,0.014419559250984874,0.02938120175773899
12,0.013966587587658848,0.028792723237226408
13,0.013296681424336773,0.029807482690860827
14,0.013291882492069687,0.030753050309916336
15,0.012893562793199505,0.030790893826633692
16,0.012885518622185503,0.029258758295327425
17,0.012530687076172659,0.030777820230772097
18,0.012791400181927851,0.028315883905937273
19,0.012460039939199176,0.029481098366280396
